"Valor","Localizacao","Caracteristicas","Caracteristicas_Imovel"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 220.000VendaCondomínioR$ 280 / mêsIPTUR$ 1Simular financiamento(85) 3111-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Vereadora Zélia Correia de SousaMondubim, Fortaleza, CE, 60761515","Área útil50m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
"R$ 375.000VendaCondomínioR$ 443 / mêsIPTUR$ 0Simular financiamento(85) 99648-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Rodrigo Codes SandovalMondubim, Fortaleza, CE, 60711455","Área útil66m²","Área de serviço"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Mobiliado"
NA,NA,NA,"Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 230.000R$ 220.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99784-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 257.990VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 8678-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Cristiano OtoniMondubim, Fortaleza, CE, 60761420","Área útil40m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagemNão Tem",NA
"R$ 244.000VendaCondomínioR$ 375 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","MondubimFortaleza, CE, 60711520","Área útil63m²","Permitido animais"
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 195.000VendaCondomínioR$ 270 / mêsIPTUR$ 0Simular financiamento(85) 98161-3...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Benjamim Brasil - de 2/3 ao fimMondubim, Fortaleza, CE, 60711442","Área útil52m²","Ar condicionado"
NA,NA,"Quartos2","Área de serviço"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 175.000R$ 160.000VendaCondomínioR$ 215 / mêsIPTUR$ 0Simular financiamento(85) 98737-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 230.000R$ 220.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99784-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 230.000R$ 220.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99784-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 200.000VendaCondomínioR$ 229 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Ar condicionado"
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 230.000R$ 220.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99784-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 125.000VendaCondomínioR$ 250 / mêsIPTUR$ 13Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Aymar RodriguesMaraponga, Fortaleza, CE, 60711110","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 250.000VendaCondomínioR$ 430 / mêsIPTUR$ 0Simular financiamento(85) 3111-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil63m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 445.000R$ 430.000VendaCondomínioR$ 462 / mêsIPTUR$ 897Simular financiamento(85) 98629-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil54m²","Área de serviço"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
"R$ 270.000R$ 259.000VendaCondomínioR$ 400 / mêsIPTUR$ 0Simular financiamento(85) 99647-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil68m²","Ar condicionado"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Mobiliado"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Portaria"
"R$ 195.000VendaCondomínioR$ 300 / mêsIPTUR$ 0Simular financiamento(85) 3055-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil43m²","Ar condicionado"
NA,NA,"Quartos2","Área de serviço"
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 230.000R$ 220.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99784-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 250.000VendaCondomínioR$ 70 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Avenida Godofredo Maciel - de 1283 a 2343 - lado ímparMaraponga, Fortaleza, CE, 60710683","Área útil94m²","Área de serviço"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros3",NA
NA,NA,"Vagas na garagem1",NA
"R$ 425.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99733-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Avenida Godofredo Maciel - de 1283 a 2343 - lado ímparMaraponga, Fortaleza, CE, 60710903","Área útil150m²","Ar condicionado"
NA,NA,"Quartos3","Varanda"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem2","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Salão de festas"
"R$ 345.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99105-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Florêncio Coelho HolandaMaraponga, Fortaleza, CE, 60711220","Área útil68m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Piscina"
"R$ 450.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99913-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil63m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros3",NA
NA,NA,"Vagas na garagemNão Tem",NA
"R$ 260.000VendaCondomínioR$ 280 / mêsIPTUR$ 16Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil58m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 210.000VendaCondomínioR$ 220 / mêsIPTUR$ 80Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","MarapongaFortaleza, CE, 60711000","Área útil45m²","Área de serviço"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 225.000VendaCondomínioR$ 220 / mêsIPTUR$ 80Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","MarapongaFortaleza, CE, 60711000","Área útil45m²","Área de serviço"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
"R$ 260.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 99418-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil65m²","Área de serviço"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem2",NA
"R$ 300.000VendaCondomínioR$ 5.400 / mêsIPTUR$ 0Simular financiamento(85) 99105-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Francisco Glicério - até 1468/1469Maraponga, Fortaleza, CE, 60711055","Área útil73m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros3","Piscina"
NA,NA,"Vagas na garagem2",NA
"R$ 345.000R$ 329.000VendaCondomínioR$ 460 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Florêncio Coelho HolandaMaraponga, Fortaleza, CE, 60711220","Área útil68m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 210.000VendaCondomínioR$ 270 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Benjamim Brasil - de 2/3 ao fimMondubim, Fortaleza, CE, 60711442","Área útil52m²","Permitido animais"
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 220.000VendaCondomínioR$ 230 / mêsIPTUR$ 700Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","MarapongaFortaleza, CE, 60711000","Área útil45m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 165.000R$ 153.000VendaCondomínioR$ 250 / mêsIPTUR$ 1Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 205.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Antônio DivinoMondubim, Fortaleza, CE, 60711540","Área útil45m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 260.000VendaCondomínioR$ 250 / mêsIPTUR$ 1Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil58m²","Mobiliado"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 179.000VendaCondomínioR$ 270 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Antônio DivinoMondubim, Fortaleza, CE, 60711540","Área útil48m²","Área de serviço"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 450.000VendaCondomínioR$ 520 / mêsIPTUR$ 0Simular financiamento(85) 98737-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem2","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 220.000VendaCondomínioR$ 210 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","MarapongaFortaleza, CE, 60711000","Área útil48m²","Piscina"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 245.000VendaCondomínioR$ 200 / mêsIPTUR$ 0Simular financiamento(85) 3055-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua HolandaMaraponga, Fortaleza, CE, 60711005","Área útil44m²","Área de serviço"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 245.000VendaCondomínioR$ 200 / mêsIPTUR$ 0Simular financiamento(85) 3055-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua HolandaMaraponga, Fortaleza, CE, 60711005","Área útil44m²","Área de serviço"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 445.125VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Avenida Godofredo Maciel - de 1282 a 3540 - lado parMaraponga, Fortaleza, CE, 60710684","Área útil61m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros3","Varanda"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 200.000VendaCondomínioR$ 200 / mêsIPTUR$ 0Simular financiamento(85) 98826-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 420.000VendaCondomínioR$ 460 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Avenida Godofredo Maciel - de 1283 a 2343 - lado ímparMaraponga, Fortaleza, CE, 60710683","Área útil64m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 180.000VendaCondomínioR$ 220 / mêsIPTUR$ 0Simular financiamento(85) 98531-6...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil48m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 200.000R$ 190.000VendaCondomínioR$ 240 / mêsIPTUR$ 0Simular financiamento(85) 98916-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Avenida Godofredo Maciel - de 1282 a 3540 - lado parMaraponga, Fortaleza, CE, 60710684","Área útil62m²","Condomínio fechado"
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 310.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagem","Avenida Godofredo Maciel - de 1282 a 3540 - lado parMaraponga, Fortaleza, CE, 60710684","Área útil45m²","Área de serviço"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem2","Varanda"
NA,NA,NA,"Piscina"
"R$ 159.000VendaCondomínioR$ 290 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Benjamim Brasil - de 2/3 ao fimMondubim, Fortaleza, CE, 60711442","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 495.100VendaCondomínioR$ 480 / mêsIPTUR$ 1Simular financiamento(85) 98122-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Emílio SáJardim Cearense, Fortaleza, CE, 60712045","Área útil87m²","Ar condicionado"
NA,NA,"Quartos4","Churrasqueira"
NA,NA,"Banheiros3","Varanda"
NA,NA,"Vagas na garagem2",NA
"R$ 375.000VendaCondomínioR$ 393 / mêsIPTUR$ 756Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Rodrigo Codes SandovalMondubim, Fortaleza, CE, 60711455","Área útil66m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Piscina"
"R$ 270.000VendaCondomínioR$ 331 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil65m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagemNão Tem",NA
"R$ 179.000VendaCondomínioR$ 200 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil43m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1",NA
"R$ 160.000VendaCondomínioR$ 310 / mêsIPTUR$ 0Simular financiamento(85) 99966-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 204.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3038-7...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Cristiano OtoniMondubim, Fortaleza, CE, 60761420","Área útil37m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagemNão Tem",NA
"R$ 375.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 98648-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Rodrigo Codes SandovalMondubim, Fortaleza, CE, 60711455","Área útil66m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 450.000VendaCondomínioR$ 530 / mêsIPTUR$ 150Simular financiamento(85) 99635-3...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros2","Armários no quarto"
NA,NA,"Vagas na garagem2","Churrasqueira"
NA,NA,NA,"Mobiliado"
NA,NA,NA,"Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 378.147R$ 360.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99647-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil72m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem2","Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 420.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Florêncio Coelho HolandaMaraponga, Fortaleza, CE, 60711220","Área útil72m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Mobiliado"
NA,NA,"Vagas na garagem2","Piscina"
NA,NA,NA,"Piscina"
"R$ 350.000VendaCondomínioR$ 393 / mêsIPTUR$ 756Simular financiamento(85) 98644-6...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Rodrigo Codes SandovalMondubim, Fortaleza, CE, 60711455","Área útil66m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
NA,NA,NA,"Segurança 24h"
"R$ 410.000VendaCondomínioR$ 420 / mêsIPTUR$ 0Simular financiamento(85) 99981-4...Exibir telefoneEnviar mensagem","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil63m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 259.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99971-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Emílio SáJardim Cearense, Fortaleza, CE, 60712045","Área útil64m²","Área de serviço"
NA,NA,"Quartos3","Elevador"
NA,NA,"Banheiros3","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 225.000R$ 209.000VendaCondomínioR$ 330 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil73m²","Ar condicionado"
